"Time","Fuel system status: Fuel system A","Fuel system status: Fuel system B","Calculated engine load [%]","Engine Coolant Temperature [°C]","Short Term Fuel Trim - Bank 1 [%]","Long Term Fuel Trim - Bank 1 [%]","Intake Manifold Absolute Pressure [kPa]","Engine RPM [RPM]","Vehicle Speed Sensor [km/h]","Ignition Timing Advance for #1 Cylinder","Intake Air Temperature [°C]","Absolute Throttle Position [%]","OBD requirements to which vehicle is certified","Distance Traveled While MIL is Activated [km]","Fuel consumption [l/100km]","Battery voltage [V]"
14:09:20.537,,,,,,,,,,,,,,,,
14:09:20.537,,,,,,,,,,,,,,,,
14:09:20.804,,,,,,,,,,,,,,,,
14:09:21.002,,,,"95",,,,,,,,,,,,
14:09:21.164,,,,,,,,,,,,,,,,
14:09:21.340,,,,,,,,,,,,,,,,
14:09:21.502,,,,,,,,,,,,,,,,
14:09:21.791,,,,"95",,,,"1772",,,,,,,,
14:09:21.967,,,,"95",,,,"1772","40",,,,,,,
14:09:22.143,,,,,,,,,,,,,,,,
14:09:22.305,,,,"95",,,,"1772","40",,"45",,,,,
14:09:22.467,,,,,,,,,,,,,,,,
14:09:22.742,,,,,,,,,,,,,,,,
14:09:22.823,,,,,,,,,,,,,,,,
14:09:23.111,,,,,,,,,,,,,,,,
14:09:23.354,,,,,,,,,,,,,,,,
14:09:23.828,,,,,,,,,,,,,,,,
14:09:23.828,,,,,,,,,,,,,,,,
14:09:23.904,,,,,,,,,,,,,,,,
14:09:23.968,,,,"95",,,,"1772","40",,"45",,,,,
14:09:24.039,,,,,,,,,,,,,,,,
14:09:24.118,,,,,,,,,,,,,,,,
14:09:24.190,,,,,,,,,,,,,,,,
14:09:24.261,,,,"95",,,,"1610","40",,"45",,,,,
14:09:24.329,,,,"95",,,,"1610","36",,"45",,,,,
14:09:24.405,,,,,,,,,,,,,,,,
14:09:24.477,,,,"95",,,,"1610","36",,"45",,,,,
14:09:24.553,,,,,,,,,,,,,,,,
14:09:24.623,,,,,,,,,,,,,,,,
14:09:24.690,,,,,,,,,,,,,,,,
14:09:24.978,,,,,,,,,,,,,,,,
14:09:25.218,,,,,,,,,,,,,,,,
14:09:25.533,,,,,,,,,,,,,,,,
14:09:25.533,,,,,,,,,,,,,,,,
14:09:25.616,,,,,,,,,,,,,,,,
14:09:25.681,,,,"95",,,,"1610","36",,"45",,,,,
14:09:25.757,,,,,,,,,,,,,,,,
14:09:25.825,,,,,,,,,,,,,,,,
14:09:25.891,,,,,,,,,,,,,,,,
14:09:25.962,,,,"95",,,,"1363","36",,"45",,,,,
14:09:26.035,,,,"95",,,,"1363","33",,"45",,,,,
14:09:26.109,,,,,,,,,,,,,,,,
14:09:26.174,,,,"95",,,,"1363","33",,"45",,,,,
14:09:26.246,,,,,,,,,,,,,,,,
14:09:26.314,,,,,,,,,,,,,,,,
14:09:26.388,,,,,,,,,,,,,,,,
14:09:26.666,,,,,,,,,,,,,,,,
14:09:26.909,,,,,,,,,,,,,,,,
14:09:27.302,,,,,,,,,,,,,,,,
14:09:27.302,,,,,,,,,,,,,,,,
14:09:27.369,,,,,,,,,,,,,,,,
14:09:27.450,,,,"94",,,,"1363","33",,"45",,,,,
14:09:27.514,,,,,,,,,,,,,,,,
14:09:27.586,,,,,,,,,,,,,,,,
14:09:27.652,,,,,,,,,,,,,,,,
14:09:27.721,,,,"94",,,,"998","33",,"45",,,,,
14:09:27.794,,,,"94",,,,"998","27",,"45",,,,,
14:09:27.863,,,,,,,,,,,,,,,,
14:09:27.934,,,,"94",,,,"998","27",,"46",,,,,
14:09:28.006,,,,,,,,,,,,,,,,
14:09:28.078,,,,,,,,,,,,,,,,
14:09:28.151,,,,,,,,,,,,,,,,
14:09:28.438,,,,,,,,,,,,,,,,
14:09:28.689,,,,,,,,,,,,,,,,
14:09:28.970,,,,,,,,,,,,,,,,
14:09:28.970,,,,,,,,,,,,,,,,
14:09:29.046,,,,,,,,,,,,,,,,
14:09:29.118,,,,"94",,,,"998","27",,"46",,,,,
14:09:29.186,,,,,,,,,,,,,,,,
14:09:29.258,,,,,,,,,,,,,,,,
14:09:29.332,,,,,,,,,,,,,,,,
14:09:29.409,,,,"94",,,,"975","27",,"46",,,,,
14:09:29.482,,,,"94",,,,"975","19",,"46",,,,,
14:09:29.550,,,,,,,,,,,,,,,,
14:09:29.621,,,,"94",,,,"975","19",,"46",,,,,
14:09:29.805,,,,,,,,,,,,,,,,
14:09:29.994,,,,,,,,,,,,,,,,
14:09:30.187,,,,,,,,,,,,,,,,
14:09:31.016,,,,,,,,,,,,,,,,
14:09:31.364,,,,,,,,,,,,,,,,
14:09:32.143,,,,,,,,,,,,,,,,
14:09:32.144,,,,,,,,,,,,,,,,
14:09:32.319,,,,,,,,,,,,,,,,
14:09:32.583,,,,"93",,,,"975","19",,"46",,,,,
14:09:32.785,,,,,,,,,,,,,,,,
14:09:32.961,,,,,,,,,,,,,,,,
14:09:33.149,,,,,,,,,,,,,,,,
